Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,Fireplaces,FireplaceQu,GarageCars,YrSold,SaleCondition,SalePrice
295,80,9600,1Fam,6,1953,238,1416,1644,1644,1,2,Gd,2,2009,Normal,167000
296,37,7937,1Fam,6,1984,0,1003,1003,1003,1,0,NA,2,2006,Normal,142500
297,75,13710,1Fam,5,1950,0,910,910,1558,1,0,NA,1,2007,Normal,152000
298,66,7399,1Fam,7,1997,1600,975,975,1950,2,1,TA,2,2007,Normal,239000
299,90,11700,1Fam,6,1968,365,702,1041,1743,1,1,Gd,2,2007,Normal,175000
300,80,14000,1Fam,6,1950,0,1092,1152,1152,1,1,Gd,1,2009,Family,158500
301,90,15750,2fmCon,5,1953,56,1165,1336,1336,1,2,Gd,1,2006,Normal,157000
302,66,16226,1Fam,8,1998,0,1028,1210,2452,2,1,TA,2,2007,Normal,267000
303,118,13704,1Fam,7,2001,150,1541,1541,1541,2,1,TA,3,2006,Normal,205000
304,70,9800,1Fam,5,1972,0,894,894,894,1,0,NA,2,2006,Abnorml,149900
305,87,18386,1Fam,7,1880,0,1470,1675,3493,3,1,Ex,3,2008,Normal,295000
306,80,10386,1Fam,8,2004,246,2000,2000,2000,2,0,NA,3,2007,Normal,305900
307,116,13474,1Fam,7,1990,246,700,1122,2243,2,1,TA,3,2007,Normal,225000
308,NA,7920,1Fam,6,1920,0,319,1035,1406,1,0,NA,0,2008,Normal,89500
309,NA,12342,1Fam,4,1940,0,861,861,861,1,0,NA,2,2009,Normal,82500
310,90,12378,1Fam,9,2003,0,1896,1944,1944,2,3,Ex,3,2006,Normal,360000
311,NA,7685,1Fam,6,1993,112,697,697,1501,2,1,TA,2,2006,Normal,165600
312,50,8000,1Fam,6,1948,0,972,972,972,1,1,Gd,1,2009,Normal,132000
313,65,7800,2fmCon,5,1939,0,793,793,1118,1,1,Gd,2,2006,Normal,119900
314,150,215245,1Fam,7,1965,0,2136,2036,2036,2,2,Gd,2,2009,Normal,375000
315,60,9600,1Fam,7,1925,0,728,832,1641,1,1,Gd,2,2006,Normal,178000
316,71,7795,1Fam,7,2004,0,716,716,1432,2,1,Gd,2,2009,Normal,188500
317,94,13005,1Fam,7,1980,278,845,1153,2353,2,1,TA,2,2009,Normal,260000
318,75,9000,1Fam,8,2006,0,1088,1088,1959,2,1,Gd,3,2007,Normal,270000
319,90,9900,1Fam,7,1993,256,1347,1372,2646,2,1,TA,3,2009,Normal,260000
320,NA,14115,1Fam,7,1980,225,1372,1472,1472,2,2,TA,2,2009,Normal,187500
321,111,16259,1Fam,9,2006,370,1249,1249,2596,3,0,NA,3,2006,Partial,342643
322,99,12099,1Fam,8,2004,388,1136,1136,2468,2,1,Gd,3,2007,Normal,354000
323,86,10380,1Fam,7,1986,172,1502,1553,2730,2,1,TA,2,2007,Normal,301000
324,49,5820,1Fam,3,1955,0,1162,1163,1163,1,0,NA,1,2006,Normal,126175
325,96,11275,1Fam,7,1967,300,710,1898,2978,2,1,Gd,2,2010,Normal,242000
326,50,5000,1Fam,5,1941,0,720,803,803,1,0,NA,2,2007,Normal,87000
327,32,10846,TwnhsE,8,1993,0,1719,1719,1719,1,2,Gd,2,2008,Normal,324000
328,80,11600,1Fam,6,1960,175,1383,1383,1383,1,0,NA,1,2006,Normal,145250
329,NA,11888,1Fam,6,1916,0,844,1445,2134,2,0,NA,2,2009,Normal,214500
330,60,6402,1Fam,5,1920,0,596,596,1192,1,0,NA,1,2009,Normal,78000
331,NA,10624,Duplex,5,1964,84,1728,1728,1728,2,0,NA,1,2007,Normal,119000
332,70,8176,1Fam,5,1958,0,1056,1056,1056,1,0,NA,1,2007,Normal,139000
333,85,10655,1Fam,8,2003,296,3206,1629,1629,2,1,Gd,3,2009,Normal,284000
334,59,8198,TwnhsE,7,2004,146,1358,1358,1358,2,1,Gd,2,2008,Normal,207000
335,59,9042,1Fam,6,1998,0,943,943,1638,2,2,TA,2,2008,Normal,192000
336,NA,164660,2fmCon,5,1965,0,1499,1619,1786,2,2,Gd,2,2008,Normal,228950
337,86,14157,1Fam,9,2005,200,1922,1922,1922,2,1,Gd,3,2007,Normal,377426
338,70,9135,1Fam,7,2002,113,1536,1536,1536,2,0,NA,2,2008,Normal,214000
339,91,14145,1Fam,7,1984,0,1208,1621,1621,2,0,NA,2,2006,Normal,202500
340,66,12400,1Fam,6,1958,176,1215,1215,1215,1,0,NA,1,2009,Normal,155000
341,85,14191,1Fam,8,2002,0,967,993,1908,2,0,NA,2,2010,Normal,202900
342,60,8400,1Fam,4,1950,0,721,841,841,1,0,NA,1,2009,Normal,82000
343,NA,8544,Duplex,3,1949,340,0,1040,1040,2,0,NA,2,2006,Normal,87500
344,63,8849,TwnhsE,9,2005,616,1684,1684,1684,2,1,Ex,2,2008,Normal,266000
345,36,2592,TwnhsE,5,1976,0,536,536,1112,1,0,NA,1,2010,Normal,85000
346,65,6435,1Fam,6,1939,0,972,972,1577,1,1,Gd,1,2006,Normal,140200
347,NA,12772,1Fam,6,1960,0,958,958,958,1,0,NA,1,2007,Normal,151500
348,NA,17600,1Fam,6,1960,30,1478,1478,1478,2,2,Gd,2,2009,Normal,157500
349,36,2448,Twnhs,7,2003,106,764,764,1626,2,0,NA,2,2008,Normal,154000
350,56,20431,1Fam,9,2005,870,1848,1848,2728,2,2,Ex,3,2006,Partial,437154
351,68,7820,TwnhsE,9,2007,362,1869,1869,1869,2,1,Gd,2,2007,Partial,318061
352,NA,5271,1Fam,7,1986,0,1453,1453,1453,1,1,TA,2,2006,Abnorml,190000
353,60,9084,1Fam,5,1941,0,616,616,1111,1,0,NA,1,2008,Normal,95000
354,60,8520,1Fam,6,1928,0,624,720,720,1,0,NA,2,2010,Normal,105900
355,60,8400,1Fam,6,1940,0,940,1192,1595,1,2,Gd,1,2006,Normal,140000
356,105,11249,1Fam,6,1995,0,1200,1200,1200,2,0,NA,2,2007,Normal,177500
357,NA,9248,1Fam,6,1992,106,1158,1167,1167,2,0,NA,2,2009,Normal,173000
358,44,4224,TwnhsE,5,1976,0,1142,1142,1142,1,1,Po,2,2007,Normal,134000
359,92,6930,1Fam,5,1958,120,1062,1352,1352,1,0,NA,1,2006,Abnorml,130000
360,78,12011,1Fam,8,1998,530,1086,1086,1924,2,1,TA,2,2006,Normal,280000
361,NA,7540,1Fam,6,1978,0,888,912,912,1,1,TA,2,2007,Normal,156000
362,NA,9144,1Fam,5,1940,0,883,988,1505,1,0,NA,1,2008,Normal,145000
363,64,7301,1Fam,7,2003,500,0,495,1922,3,1,Ex,2,2009,Normal,198500
364,21,1680,Twnhs,6,1972,510,483,483,987,1,0,NA,1,2009,Normal,118000
365,NA,18800,1Fam,6,1976,120,796,790,1574,2,1,TA,2,2006,Normal,190000
366,59,10690,1Fam,5,1920,0,672,672,1344,1,0,NA,1,2009,Normal,147000
367,NA,9500,1Fam,6,1963,247,1394,1394,1394,1,2,Gd,2,2009,Normal,159000
368,101,9150,1Fam,6,1962,305,1099,1431,1431,1,1,Gd,1,2008,Normal,165000
369,78,7800,1Fam,5,1954,200,1268,1268,1268,1,1,Gd,1,2010,Normal,132000
370,NA,9830,1Fam,5,1959,0,1063,1287,1287,1,1,Gd,2,2010,Normal,162000
371,NA,8121,1Fam,6,2000,0,953,953,1664,2,1,TA,2,2006,Normal,172400
372,80,17120,1Fam,4,1959,0,0,1120,1588,2,1,Gd,2,2008,Normal,134432
373,50,7175,TwnhsE,6,1984,0,744,752,752,1,0,NA,1,2010,Normal,125000
374,79,10634,1Fam,5,1953,0,608,1319,1319,1,0,NA,1,2009,Normal,123000
375,65,8200,1Fam,7,2003,0,847,847,1928,2,1,Gd,2,2007,Normal,219500
376,NA,10020,1Fam,1,1922,0,683,904,904,0,0,NA,0,2009,Normal,61000
377,57,8846,1Fam,5,1996,0,870,914,914,1,0,NA,2,2006,Normal,148000
378,102,11143,1Fam,8,2004,0,1580,1580,2466,3,1,Gd,2,2007,Normal,340000
379,88,11394,1Fam,9,2010,350,1856,1856,1856,1,1,Ex,3,2010,Partial,394432
380,60,8123,1Fam,6,2000,16,982,1007,1800,2,1,TA,2,2009,Normal,179000
381,50,5000,1Fam,5,1924,0,1026,1026,1691,2,1,Gd,1,2010,Normal,127000
382,60,7200,1Fam,7,2006,0,1293,1301,1301,2,1,Gd,2,2006,Partial,187750
383,79,9245,1Fam,7,2006,0,939,939,1797,2,0,NA,2,2007,Normal,213500
384,60,9000,1Fam,6,1928,0,784,784,784,1,0,NA,2,2009,Normal,76000
385,NA,53107,1Fam,6,1992,0,1580,1079,1953,2,2,Fa,2,2007,Normal,240000
386,43,3182,TwnhsE,8,2004,16,1256,1269,1269,2,1,TA,2,2010,Normal,192000
387,58,8410,1Fam,5,1910,0,658,658,1184,1,0,NA,0,2006,AdjLand,81000
388,72,7200,1Fam,6,1976,255,1041,1125,1125,1,1,Fa,1,2009,Abnorml,125000
389,93,9382,1Fam,7,1999,125,1468,1479,1479,2,0,NA,2,2008,Normal,191000
390,96,12474,1Fam,10,2007,272,1682,1742,2332,2,1,Ex,3,2008,Partial,426000
391,50,8405,1Fam,5,1900,0,861,961,1367,1,0,NA,1,2008,Normal,119000
392,71,12209,1Fam,6,2001,0,804,804,1961,2,1,TA,2,2009,Normal,215000
393,NA,8339,1Fam,5,1959,0,0,882,882,1,0,NA,1,2007,Normal,106500
394,NA,7446,1Fam,4,1941,0,788,788,788,1,2,TA,0,2006,Abnorml,100000
395,60,10134,1Fam,5,1940,0,735,735,1034,1,0,NA,1,2007,Normal,109000
396,68,9571,1Fam,5,1956,0,1144,1144,1144,1,0,NA,1,2010,Normal,129000
397,60,7200,1Fam,5,1972,0,894,894,894,1,0,NA,2,2009,Normal,123000
398,69,7590,1Fam,5,1962,288,864,876,1812,2,1,TA,1,2007,Normal,169500
399,60,8967,1Fam,5,1920,0,961,1077,1077,1,0,NA,1,2007,Abnorml,67000
400,65,8125,1Fam,7,2006,100,1092,1112,1550,2,0,NA,2,2009,Normal,241000
401,38,14963,TwnhsE,8,1996,0,1260,1288,1288,1,2,Gd,2,2008,Normal,245500
402,65,8767,1Fam,7,2005,0,1310,1310,1310,2,1,Gd,2,2006,Partial,164990
403,60,10200,1Fam,5,1940,0,672,672,672,1,0,NA,1,2008,Normal,108000
404,93,12090,1Fam,8,1998,650,1141,1165,2263,2,1,TA,2,2006,Abnorml,258000
405,NA,10364,1Fam,6,1995,0,806,806,1572,2,1,TA,2,2007,Normal,168000
406,NA,9991,1Fam,4,1976,0,1281,1620,1620,2,1,TA,2,2009,Normal,150000
407,51,10480,1Fam,6,1936,0,1064,1166,1639,1,0,NA,1,2008,Normal,115000
408,63,15576,1Fam,6,1915,0,840,840,1680,2,0,NA,1,2008,Normal,177000
409,109,14154,1Fam,7,2006,350,1063,1071,2172,2,1,Gd,3,2007,Partial,280000
410,85,10800,1Fam,8,2007,100,1034,1050,2078,2,1,Gd,3,2008,Partial,339750
411,68,9571,1Fam,5,1958,0,1276,1276,1276,1,0,NA,1,2009,Abnorml,60000
412,100,34650,2fmCon,5,1955,0,1056,1056,1056,1,0,NA,2,2006,Normal,145000
413,NA,4403,1Fam,7,2009,432,1470,1478,1478,2,1,Gd,2,2010,Partial,222000
414,56,8960,1Fam,5,1927,0,1008,1028,1028,1,1,Gd,2,2010,Normal,115000
415,59,11228,1Fam,7,1993,0,1080,1080,2097,2,1,TA,3,2008,Normal,228000
416,73,8899,1Fam,7,2007,0,1340,1340,1340,2,0,NA,2,2007,Partial,181134
417,74,7844,1Fam,6,1978,203,672,672,1400,1,1,TA,2,2006,Normal,149500
418,86,22420,1Fam,6,1918,0,1370,1370,2624,2,1,Gd,3,2007,Normal,239000
419,60,8160,1Fam,5,1940,0,756,756,1134,1,0,NA,1,2007,AdjLand,126000
420,65,8450,1Fam,5,1968,0,1056,1056,1056,1,1,Fa,1,2010,Normal,142000
421,78,7060,Duplex,7,1997,200,1344,1344,1344,2,0,NA,4,2008,Alloca,206300
422,NA,16635,1Fam,6,1977,126,1602,1602,1602,2,1,TA,2,2009,Normal,215000
423,100,21750,1Fam,5,1954,0,988,988,988,1,0,NA,2,2008,Normal,113000
424,80,9200,1Fam,8,1998,473,1470,1470,2630,2,1,TA,3,2008,Normal,315000
425,72,9000,1Fam,6,1956,74,1196,1196,1196,1,1,Gd,1,2008,Normal,139000
426,60,3378,1Fam,7,1946,0,651,707,1389,1,2,Gd,1,2009,Normal,135000
427,NA,12800,1Fam,7,1989,145,1518,1644,1644,2,1,TA,2,2009,Normal,275000
428,77,8593,1Fam,4,1957,0,907,907,907,1,0,NA,1,2008,Normal,109008
429,64,6762,1Fam,7,2007,108,1208,1208,1208,2,0,NA,2,2007,Partial,195400
430,130,11457,1Fam,6,1988,0,1392,1412,1412,2,1,TA,2,2009,Normal,175000
431,21,1680,Twnhs,6,1971,232,483,483,987,1,0,NA,1,2008,Abnorml,85400
432,60,5586,1Fam,6,1920,0,901,1088,1198,1,0,NA,0,2008,Abnorml,79900
433,24,1920,TwnhsE,5,1971,376,765,765,1365,1,0,NA,2,2007,Normal,122500
434,100,10839,1Fam,6,1997,0,926,926,1604,2,1,TA,2,2008,Normal,181000
435,21,1890,Twnhs,4,1972,0,630,630,630,1,0,NA,0,2008,Normal,81000
436,43,10667,1Fam,7,1996,0,799,827,1661,2,1,TA,2,2009,Normal,212000
437,40,4400,1Fam,6,1920,0,648,734,1118,1,0,NA,2,2006,Normal,116000
438,50,6000,1Fam,6,1926,0,884,904,904,1,0,NA,1,2009,Normal,119000
439,40,4280,1Fam,5,1913,0,440,694,694,1,1,Gd,1,2007,Normal,90350
440,67,12354,1Fam,6,1920,0,684,684,1196,1,0,NA,2,2009,Normal,110000
441,105,15431,1Fam,10,2008,200,3094,2402,2402,2,2,Gd,3,2009,Normal,555000
442,92,12108,Duplex,4,1955,270,1440,1440,1440,2,0,NA,0,2008,Normal,118000
443,52,6240,1Fam,5,1930,0,1078,1128,1573,2,1,Gd,2,2008,Normal,162900
444,53,3922,TwnhsE,7,2006,72,1258,1258,1258,2,1,Gd,3,2007,Partial,172500
445,70,8750,1Fam,7,1994,0,915,933,1908,2,1,TA,2,2008,Normal,210000
446,73,9855,1Fam,6,1956,0,1436,1689,1689,1,1,Gd,2,2009,Normal,127500
447,137,16492,1Fam,6,1966,0,1517,1888,1888,2,1,Gd,2,2010,Normal,190000
448,NA,11214,1Fam,7,1998,0,930,956,1886,2,1,TA,2,2006,Normal,199900
449,50,8600,1Fam,6,1937,0,780,780,1376,2,1,Gd,1,2006,Normal,119500
450,50,6000,1Fam,3,1948,0,649,679,1183,1,0,NA,1,2007,Normal,120000
451,70,5684,1Fam,6,1930,0,813,813,813,1,0,NA,1,2006,Normal,110000
452,62,70761,1Fam,7,1975,0,1533,1533,1533,2,2,TA,2,2006,Normal,280000
453,NA,9303,1Fam,6,1996,42,872,888,1756,2,0,NA,2,2007,Normal,204000
454,75,9000,1Fam,8,2008,0,768,786,1590,2,0,NA,2,2009,Normal,210000
455,63,9297,Duplex,5,1976,0,1728,1728,1728,2,0,NA,2,2006,Family,188000
456,80,9600,1Fam,7,1973,320,1242,1242,1242,1,1,TA,2,2007,Normal,175500
457,34,4571,1Fam,5,1916,0,624,624,1344,1,0,NA,3,2008,Abnorml,98000
458,NA,53227,1Fam,4,1954,0,1364,1663,1663,1,2,Gd,2,2008,Normal,256000
459,NA,5100,1Fam,8,1925,0,588,833,1666,1,1,Gd,1,2008,Normal,161000
460,NA,7015,1Fam,5,1950,161,709,979,1203,1,1,TA,1,2009,Normal,110000
461,75,8004,1Fam,8,2009,110,832,832,1935,2,0,NA,2,2009,Partial,263435
462,60,7200,1Fam,7,1936,0,560,575,1135,1,0,NA,2,2009,Normal,155000
463,60,8281,1Fam,5,1965,0,864,864,864,1,1,Po,1,2009,Normal,62383
464,74,11988,1Fam,6,1934,0,715,849,1660,1,1,Gd,1,2008,Normal,188700
465,60,8430,1Fam,5,1978,136,1040,1040,1040,2,0,NA,0,2009,Normal,124000
466,NA,3072,TwnhsE,7,2004,18,1375,1414,1414,2,1,TA,2,2006,Normal,178740
467,85,10628,1Fam,7,1970,0,1277,1277,1277,1,1,Po,2,2007,Normal,167000
468,79,9480,1Fam,5,1942,224,728,888,1644,1,2,Gd,1,2007,Normal,146500
469,98,11428,1Fam,8,2006,248,1626,1634,1634,2,1,Gd,3,2007,Normal,250000
470,76,9291,1Fam,6,1993,120,832,832,1710,2,0,NA,2,2008,Normal,187000
471,NA,6820,TwnhsE,8,1985,0,1488,1502,1502,1,0,NA,2,2010,Normal,212000
472,92,11952,1Fam,7,1977,0,808,1161,1969,2,1,Gd,2,2007,Normal,190000
473,35,3675,TwnhsE,6,2005,80,547,1072,1072,1,0,NA,2,2008,Normal,148000
474,110,14977,1Fam,8,2006,304,1976,1976,1976,2,1,Ex,3,2007,Partial,440000
475,41,5330,TwnhsE,8,2000,0,1494,1652,1652,2,0,NA,2,2007,Normal,251000
476,80,8480,1Fam,5,1963,0,970,970,970,1,0,NA,2,2007,Normal,132500
477,75,13125,1Fam,6,1997,215,1478,1493,1493,2,1,TA,2,2008,Normal,208900
478,105,13693,1Fam,9,2006,772,2153,2069,2643,2,1,Gd,3,2007,Normal,380000
479,79,10637,1Fam,8,2007,336,1705,1718,1718,2,1,Gd,3,2009,Normal,297000
480,50,5925,1Fam,4,1937,435,907,1131,1131,1,0,NA,2,2007,Alloca,89471
481,98,16033,1Fam,9,2004,378,1833,1850,1850,2,1,Gd,3,2006,Normal,326000
482,72,11846,1Fam,9,2003,562,1792,1792,1792,2,1,Gd,3,2006,Normal,374000
483,50,2500,1Fam,7,1915,0,910,916,1826,1,1,Gd,1,2009,Normal,155000
484,32,4500,Twnhs,6,1998,116,1216,1216,1216,2,0,NA,2,2006,Normal,164000
485,NA,7758,1Fam,5,1962,0,999,999,999,1,0,NA,1,2007,Normal,132500
486,80,9600,1Fam,5,1950,0,1113,1113,1113,1,1,Gd,1,2009,Normal,147000
487,79,10289,1Fam,5,1965,168,1073,1073,1073,1,0,NA,2,2007,Normal,156000
488,70,12243,1Fam,5,1971,0,1484,1484,1484,2,1,TA,2,2007,Normal,175000
489,60,10800,2fmCon,5,1900,0,954,1766,2414,2,1,Gd,2,2006,Normal,160000
490,21,1526,Twnhs,4,1970,0,630,630,630,1,0,NA,1,2009,Normal,86000
491,NA,2665,TwnhsE,5,1976,0,264,616,1304,1,1,Gd,1,2008,Normal,115000
492,79,9490,1Fam,6,1941,0,806,958,1578,1,2,TA,1,2006,Normal,133000
493,105,15578,1Fam,6,2006,0,728,728,1456,2,0,NA,2,2006,Partial,172785
494,70,7931,1Fam,5,1960,0,1269,1269,1269,1,1,Fa,1,2008,Normal,155000
495,50,5784,1Fam,5,1938,0,190,886,886,1,0,NA,1,2009,Normal,91300
496,60,7879,1Fam,4,1920,0,720,720,720,1,0,NA,0,2009,Abnorml,34900
497,NA,12692,1Fam,8,1992,0,3200,3228,3228,3,1,Gd,2,2007,Normal,430000
498,60,9120,1Fam,7,1925,0,1026,1133,1820,2,0,NA,1,2008,Normal,184000
499,65,7800,1Fam,5,1967,89,864,899,899,1,0,NA,1,2009,Normal,130000
500,70,7535,1Fam,5,1958,0,912,912,912,1,0,NA,1,2007,Normal,120000
501,21,1890,Twnhs,6,1973,285,672,672,1218,1,0,NA,1,2007,Normal,113000
502,75,9803,1Fam,7,2005,0,866,866,1768,2,0,NA,2,2008,Normal,226700
503,70,9170,1Fam,5,1965,0,1214,1214,1214,1,0,NA,2,2007,Normal,140000
504,100,15602,1Fam,7,1959,0,1501,1801,1801,2,2,TA,2,2010,Normal,289000
505,24,2308,TwnhsE,6,1974,0,855,855,1322,2,1,Fa,2,2009,Normal,147000
506,60,7596,Duplex,5,1952,360,960,960,1960,2,0,NA,2,2009,Normal,124500
507,80,9554,1Fam,8,1993,125,777,1065,1911,2,1,TA,2,2006,Normal,215000
508,75,7862,1Fam,6,2009,0,1218,1218,1218,2,0,NA,2,2009,Partial,208300
509,60,9600,1Fam,7,1928,0,689,689,1378,2,1,Gd,2,2008,Normal,161000
510,80,9600,1Fam,5,1959,132,1041,1041,1041,1,0,NA,1,2009,Normal,124500
511,75,14559,1Fam,5,1951,70,1008,1363,1363,1,2,TA,1,2009,Normal,164900
512,40,6792,TwnhsE,7,2005,94,1368,1368,1368,2,1,Gd,2,2006,Partial,202665
513,70,9100,1Fam,5,1958,0,864,864,864,1,0,NA,2,2006,Normal,129900
514,71,9187,1Fam,6,1983,0,1084,1080,1080,1,0,NA,2,2007,Normal,134000
515,55,10594,1Fam,5,1926,0,768,789,789,1,0,NA,1,2007,Normal,96500
516,94,12220,1Fam,10,2009,305,2006,2020,2020,2,1,Gd,3,2009,Partial,402861
517,NA,10448,1Fam,6,1972,333,689,1378,2119,2,1,TA,2,2009,Abnorml,158000
518,79,10208,1Fam,7,1996,921,1264,1277,2344,2,1,TA,3,2009,Normal,265000
519,NA,9531,1Fam,6,1998,0,794,882,1796,2,0,NA,2,2007,Normal,211000
520,53,10918,1Fam,7,1926,0,1276,1276,2080,1,2,Gd,1,2009,Normal,234000
521,60,10800,2fmCon,4,1900,0,0,694,1294,2,0,NA,0,2008,Normal,106250
522,90,11988,1Fam,6,1957,0,1244,1244,1244,1,2,Gd,1,2007,Normal,150000
523,50,5000,1Fam,6,1947,0,1004,1004,1664,2,2,Gd,2,2006,Normal,159000
524,130,40094,1Fam,10,2007,762,3138,3138,4676,3,1,Gd,3,2007,Partial,184750
525,95,11787,1Fam,7,1996,594,1379,1383,2398,2,1,TA,3,2007,Normal,315750
526,62,7500,1Fam,7,2005,0,1257,1266,1266,2,1,TA,2,2006,Normal,176000
527,70,13300,1Fam,5,1956,0,928,928,928,1,0,NA,1,2007,Normal,132000
528,67,14948,1Fam,9,2008,268,1452,1476,2713,2,1,Gd,3,2008,Partial,446261
529,58,9098,1Fam,4,1920,0,528,605,605,1,0,NA,0,2007,Normal,86000
530,NA,32668,1Fam,6,1957,NA,2035,2515,2515,3,2,TA,2,2007,Alloca,200624
531,85,10200,1Fam,6,1988,219,1461,1509,1509,2,1,Fa,2,2008,Abnorml,175000
532,60,6155,1Fam,6,1920,0,611,751,1362,2,0,NA,2,2008,Normal,128000
533,60,7200,1Fam,5,1955,0,0,827,827,1,1,Po,1,2010,Normal,107500
534,50,5000,1Fam,1,1946,0,0,334,334,1,0,NA,0,2007,Normal,39300
535,74,9056,1Fam,8,2004,0,707,707,1414,2,1,Gd,2,2006,Normal,178000
536,70,7000,2fmCon,5,1910,0,1117,820,1347,1,0,NA,0,2008,Normal,107500
537,57,8924,1Fam,7,1998,0,880,880,1724,2,0,NA,2,2008,Normal,188000
538,NA,12735,1Fam,4,1972,0,864,864,864,1,0,NA,2,2008,Normal,111250
539,NA,11553,1Fam,5,1968,188,1051,1159,1159,1,1,Fa,1,2006,Normal,158000
540,NA,11423,1Fam,8,2001,479,1581,1601,1601,2,1,TA,2,2010,Normal,272000
541,85,14601,1Fam,9,2006,584,1838,1838,1838,2,1,Gd,3,2009,Normal,315000
542,NA,11000,1Fam,8,2000,72,969,997,2285,2,1,TA,3,2007,Normal,248000
543,78,10140,1Fam,7,1998,0,1650,1680,1680,2,1,TA,2,2009,Normal,213250
544,34,4058,TwnhsE,7,1998,182,723,767,767,1,0,NA,1,2007,Normal,133000
545,58,17104,1Fam,7,2006,0,654,664,1496,2,1,Gd,2,2006,Partial,179665
546,NA,13837,1Fam,7,1988,178,1204,1377,2183,2,0,NA,3,2006,Normal,229000
547,70,8737,1Fam,6,1923,0,1065,915,1635,1,1,Gd,2,2007,Normal,210000
548,54,7244,1Fam,5,1970,0,768,768,768,1,0,NA,2,2007,Normal,129500
549,49,8235,1Fam,5,1955,0,825,825,825,1,0,NA,2,2008,Normal,125000
550,75,9375,1Fam,7,2003,0,912,912,2094,2,1,Gd,2,2009,Normal,263000
551,53,4043,TwnhsE,6,1977,0,1069,1069,1069,2,0,NA,2,2008,Abnorml,140000
552,50,6000,1Fam,5,1957,0,928,928,928,1,0,NA,1,2008,Normal,112500
553,87,11146,1Fam,8,2006,250,1709,1717,1717,2,1,Gd,3,2009,Normal,255500
554,67,8777,1Fam,4,1949,0,0,1126,1126,2,0,NA,2,2009,Normal,108000
555,85,10625,1Fam,7,2003,292,998,1006,2046,2,1,Gd,3,2008,Normal,284000
556,58,6380,1Fam,5,1922,0,993,1048,1048,1,1,Gd,1,2006,Normal,113000
557,69,14850,1Fam,5,1957,0,1092,1092,1092,1,1,TA,1,2006,Normal,141000
558,60,11040,1Fam,4,1920,0,637,897,1336,1,0,NA,1,2006,Normal,108000
559,57,21872,1Fam,7,1996,0,729,729,1446,2,1,TA,2,2008,Normal,175000
560,NA,3196,TwnhsE,7,2003,18,1374,1557,1557,2,1,TA,2,2006,Normal,234000
561,NA,11341,1Fam,5,1957,180,1392,1392,1392,1,1,Gd,2,2010,Normal,121500
562,77,10010,1Fam,5,1974,0,1389,1389,1389,1,1,TA,2,2006,Normal,170000
563,63,13907,1Fam,5,1940,0,996,996,996,1,1,Gd,0,2008,Normal,108000
564,66,21780,1Fam,6,1918,0,1163,1163,1674,2,1,Gd,2,2008,Normal,185000
565,NA,13346,1Fam,7,1992,0,1095,1166,2295,2,1,TA,2,2006,Normal,268000
566,66,6858,1Fam,6,1915,0,806,841,1647,1,0,NA,1,2010,Normal,128000
567,77,11198,1Fam,9,2005,245,1122,1134,2504,2,1,Gd,3,2008,Normal,325000
568,70,10171,1Fam,7,2004,168,1517,1535,1535,2,0,NA,2,2010,Normal,214000
569,79,12327,1Fam,8,1983,0,1496,1496,2132,1,1,Gd,2,2009,Normal,316600
570,NA,7032,Duplex,5,1979,0,943,943,943,1,2,TA,2,2006,Normal,135960
571,74,13101,Duplex,5,1965,108,1728,1728,1728,2,0,NA,2,2008,Normal,142600
572,60,7332,1Fam,6,1959,207,864,864,864,1,0,NA,1,2006,Abnorml,120000
573,83,13159,1Fam,7,2009,0,846,846,1692,2,0,NA,2,2009,Partial,224500
574,76,9967,1Fam,7,2000,0,384,774,1430,2,1,TA,2,2007,Normal,170000
575,70,10500,1Fam,5,1971,82,372,576,1109,1,0,NA,1,2007,Normal,139000
576,80,8480,1Fam,5,1947,0,832,832,1216,1,0,NA,1,2008,Abnorml,118500
577,52,6292,1Fam,7,1928,0,861,877,1477,2,1,Gd,1,2009,Normal,145000
578,96,11777,1Fam,5,1966,97,1164,1320,1320,1,2,Fa,2,2006,Abnorml,164500
579,34,3604,TwnhsE,7,2007,0,689,703,1392,2,0,NA,2,2008,Abnorml,146000
580,81,12150,1Fam,5,1954,335,1050,1050,1795,2,0,NA,1,2008,Normal,131500
581,NA,14585,1Fam,6,1960,85,1144,1429,1429,1,2,Gd,2,2007,Normal,181900
582,98,12704,1Fam,8,2008,306,2042,2042,2042,2,1,Gd,3,2009,Partial,253293
583,81,11841,Duplex,6,1990,104,816,816,816,1,0,NA,0,2007,Normal,118500
584,75,13500,1Fam,10,1893,0,1237,1521,2775,3,1,Gd,2,2008,Normal,325000
585,51,6120,1Fam,4,1935,0,884,989,1573,1,0,NA,1,2009,Normal,133000
586,88,11443,1Fam,8,2005,208,1868,2028,2028,2,2,Gd,3,2006,Partial,369900
587,55,10267,1Fam,6,1918,0,816,838,838,1,0,NA,1,2008,Normal,130000
588,74,8740,1Fam,5,1982,0,840,860,860,1,0,NA,2,2009,Normal,137000
589,65,25095,1Fam,5,1968,0,1437,1473,1473,1,2,Gd,1,2009,Partial,143000
590,50,9100,1Fam,5,1930,0,742,779,935,1,0,NA,1,2008,Normal,79500
591,64,8320,1Fam,7,2004,0,770,770,1582,2,0,NA,2,2008,Normal,185900
